rna,protein,means_only,rna_patterns,protein_patterns,both_patterns,independence,both_minus_means
CD4,CD4,0.022860286477560835,0.022874863668706134,0.022811685560486215,0.022771753416957884,0.10292770595035146,-8.853306060295149e-05
CD4,CD7,0.019808591558586795,0.01977148848769382,0.018683862198950043,0.019620098748258475,0.019558649597912914,-0.00018849281032832024
CD4,CD14,0.025309547234258344,0.02399265345196379,0.024047905975068576,0.023227015605202884,0.024979381004383624,-0.002082531629055459
CD4,CD19,0.023981553953333026,0.024119466976669092,0.024005689162214773,0.02482552372112121,0.02478160075686988,0.0008439697677881837
CD4,CD33,0.02048799186235347,0.01961534863065559,0.01991321694965977,0.01987995215424724,0.0229889150573543,-0.0006080397081062311
CD4,CD38,0.02092105030343843,0.01951357198176983,0.0209116141116221,0.01951511573636896,0.01923736556482704,-0.0014059345670694723
CD4,CD44,0.025333554149217622,0.022398441804192357,0.02177619520384873,0.02024436528430146,0.029121148854067438,-0.005089188864916161
CD4,CD47,0.020171684405428596,0.020262670293801188,0.019296349121199246,0.019078459217919383,0.020315773239344928,-0.0010932251875092128
CD4,CD52,0.02656848054100862,0.025738189228884465,0.024385608175817086,0.02383676619252977,0.027231964646129384,-0.0027317143484788496
CD7,CD4,0.0415096289046442,0.03573356953379144,0.03065297115101303,0.029790997911137925,0.03974502407715536,-0.011718630993506274
CD7,CD7,0.030862614879141118,0.031139018998617637,0.03287514404921909,0.02901286145668346,0.2730659728497258,-0.0018497534224576583
CD7,CD14,0.030070487972372592,0.027932893113838998,0.02787955790892762,0.02834425080952311,0.029416889718453295,-0.0017262371628494824
CD7,CD19,0.022255519959200484,0.021895035048657682,0.02216643932078865,0.022593720368030777,0.05260433971970617,0.00033820040883029284
CD7,CD33,0.022426195917992244,0.022206876504970236,0.023260134424059987,0.02313164767264402,0.023486421872907084,0.0007054517546517744
CD7,CD38,0.027818589634073257,0.027149030693404852,0.022850706377359805,0.024795048901014218,0.027422841629303873,-0.0030235407330590387
CD7,CD44,0.03281280882054572,0.039749682231320284,0.028175607310613658,0.030567736748625986,0.03641056027707598,-0.002245072071919735
CD7,CD47,0.03174384572593994,0.030455556158481167,0.029430401395223686,0.028589154950408167,0.03760700492036581,-0.0031546907755317724
CD7,CD52,0.10890167363895659,0.064726650056503,0.046084121943614595,0.031424137557760926,0.05428125754816426,-0.07747753608119566
CD14,CD4,0.036829479662189156,0.02815237420852766,0.03374990070614612,0.026975477068302448,0.028962977122020797,-0.009854002593886708
CD14,CD7,0.023786055001542687,0.020730756955047468,0.02126305216605995,0.019669854415343538,0.029890416915779237,-0.004116200586199149
CD14,CD14,0.02818949157771424,0.029038062386552113,0.02794295385802146,0.02818981537545173,0.03998223564916936,3.237977374871692e-07
CD14,CD19,0.018529474865213308,0.01921720527079275,0.01931684920431598,0.020157142695184493,0.018704039563454032,0.0016276678299711848
CD14,CD33,0.023530569322179652,0.02153928412194753,0.02125825405662426,0.019864908907074104,0.04427908139898506,-0.0036656604151055483
CD14,CD38,0.029503320810145103,0.02990687442799832,0.025858620066325243,0.025835091602281656,0.03724078794372652,-0.0036682292078634472
CD14,CD44,0.031917847887347216,0.02891154310955992,0.025187522171949514,0.02410599154958778,0.039275873303391474,-0.0078118563377594374
CD14,CD47,0.025171950472402716,0.025066972870805778,0.022856108993958683,0.024153182871542767,0.03361215613330675,-0.0010187676008599489
CD14,CD52,0.021193078448913497,0.01982654886840339,0.021608786879286725,0.020068516435466508,0.021379320823421196,-0.0011245620134469891
CD19,CD4,0.02938021795519004,0.02935951390175362,0.028149534196423374,0.028561445759319456,0.04106421728897017,-0.0008187721958705825
CD19,CD7,0.02335039050123824,0.02126017410966953,0.02175085495035483,0.02063289746515792,0.04395264296234814,-0.0027174930360803207
CD19,CD14,0.025457728959319102,0.025729311177330086,0.025628378098989654,0.025680521274439348,0.025163167920007997,0.0002227923151202453
CD19,CD19,0.02183942827272837,0.02151700057755899,0.02128737107883692,0.02100693410457051,0.062318874199172376,-0.0008324941681578588
CD19,CD33,0.022614534102141485,0.022402778782888783,0.022199109093553146,0.02201980521931619,0.0213985580268269,-0.0005947288828252947
CD19,CD38,0.023663510071495607,0.02198320561361414,0.025886645344923152,0.023139895914432038,0.023322218684356286,-0.0005236141570635691
CD19,CD44,0.023659742386728598,0.024349985661947852,0.02466945033563328,0.024792202059894308,0.0219379227077868,0.0011324596731657095
CD19,CD47,0.025392298070219567,0.025421334788915284,0.030663179419103515,0.029281098463650845,0.02378472109504037,0.0038888003934312784
CD19,CD52,0.020377567017829435,0.022404591896626427,0.018194877364583216,0.01839045541573199,0.018761575773470478,-0.0019871116020974446
CD33,CD4,0.029454733901217476,0.027413783935038804,0.030166250278794746,0.0275405620337729,0.02754665068401888,-0.0019141718674445772
CD33,CD7,0.020187466672266882,0.022769582391923414,0.02101691198937638,0.023797286679815975,0.018864617261217655,0.003609820007549093
CD33,CD14,0.02373066792180142,0.022073210423866348,0.02273778328699465,0.021444126067227714,0.023564927627704582,-0.0022865418545737065
CD33,CD19,0.018084535162997226,0.018034231373618675,0.018954923650309496,0.018363123346384645,0.01790467645718497,0.0002785881833874196
CD33,CD33,0.01959268190539523,0.018298291568732875,0.018780853046019955,0.017673042991824664,0.03191344580031924,-0.0019196389135705677
