scRNASeq_sample_ID,CellType,CellType_Count,TotalPBMC_Count,Percentage
G05061-Ja005E-PBCa,B,376,6045,6.22
G05061-Ja005E-PBCa,ERYTH,1,6045,0.017
G05061-Ja005E-PBCa,HSC,4,6045,0.066
G05061-Ja005E-PBCa,MNP,1323,6045,21.886
G05061-Ja005E-PBCa,MNP|PLT,41,6045,0.678
G05061-Ja005E-PBCa,NK,1091,6045,18.048
G05061-Ja005E-PBCa,PB,19,6045,0.314
G05061-Ja005E-PBCa,PLT,10,6045,0.165
G05061-Ja005E-PBCa,T,3180,6045,52.605
G05064-Ja005E-PBCa,B,303,9003,3.366
G05064-Ja005E-PBCa,ERYTH,0,9003,0
G05064-Ja005E-PBCa,HSC,2,9003,0.022
G05064-Ja005E-PBCa,MNP,1761,9003,19.56
G05064-Ja005E-PBCa,MNP|PLT,48,9003,0.533
G05064-Ja005E-PBCa,NK,668,9003,7.42
G05064-Ja005E-PBCa,PB,40,9003,0.444
G05064-Ja005E-PBCa,PLT,0,9003,0
G05064-Ja005E-PBCa,T,6181,9003,68.655
G05073-Ja005E-PBCa,B,419,8327,5.032
G05073-Ja005E-PBCa,ERYTH,0,8327,0
G05073-Ja005E-PBCa,HSC,2,8327,0.024
G05073-Ja005E-PBCa,MNP,1658,8327,19.911
G05073-Ja005E-PBCa,MNP|PLT,19,8327,0.228
G05073-Ja005E-PBCa,NK,311,8327,3.735
G05073-Ja005E-PBCa,PB,17,8327,0.204
G05073-Ja005E-PBCa,PLT,4,8327,0.048
G05073-Ja005E-PBCa,T,5897,8327,70.818
G05077-Ja005E-PBCa,B,306,5385,5.682
G05077-Ja005E-PBCa,ERYTH,1,5385,0.019
G05077-Ja005E-PBCa,HSC,10,5385,0.186
G05077-Ja005E-PBCa,MNP,1236,5385,22.953
G05077-Ja005E-PBCa,MNP|PLT,22,5385,0.409
G05077-Ja005E-PBCa,NK,1227,5385,22.786
G05077-Ja005E-PBCa,PB,58,5385,1.077
G05077-Ja005E-PBCa,PLT,4,5385,0.074
G05077-Ja005E-PBCa,T,2521,5385,46.815
G05078-Ja005E-PBCa,B,125,9452,1.322
G05078-Ja005E-PBCa,ERYTH,0,9452,0
G05078-Ja005E-PBCa,HSC,22,9452,0.233
G05078-Ja005E-PBCa,MNP,2511,9452,26.566
G05078-Ja005E-PBCa,MNP|PLT,21,9452,0.222
G05078-Ja005E-PBCa,NK,1007,9452,10.654
G05078-Ja005E-PBCa,PB,14,9452,0.148
G05078-Ja005E-PBCa,PLT,2,9452,0.021
G05078-Ja005E-PBCa,T,5750,9452,60.834
G05097-Ja005E-PBCa,B,658,8125,8.098
G05097-Ja005E-PBCa,ERYTH,1,8125,0.012
G05097-Ja005E-PBCa,HSC,10,8125,0.123
G05097-Ja005E-PBCa,MNP,2065,8125,25.415
G05097-Ja005E-PBCa,MNP|PLT,46,8125,0.566
G05097-Ja005E-PBCa,NK,568,8125,6.991
G05097-Ja005E-PBCa,PB,30,8125,0.369
G05097-Ja005E-PBCa,PLT,0,8125,0
G05097-Ja005E-PBCa,T,4747,8125,58.425
G05105-Ja005E-PBCa,B,297,6061,4.9
G05105-Ja005E-PBCa,ERYTH,0,6061,0
G05105-Ja005E-PBCa,HSC,11,6061,0.181
G05105-Ja005E-PBCa,MNP,1746,6061,28.807
G05105-Ja005E-PBCa,MNP|PLT,21,6061,0.346
G05105-Ja005E-PBCa,NK,347,6061,5.725
G05105-Ja005E-PBCa,PB,22,6061,0.363
G05105-Ja005E-PBCa,PLT,0,6061,0
G05105-Ja005E-PBCa,T,3617,6061,59.677
G05112-Ja005E-PBCa,B,492,4436,11.091
G05112-Ja005E-PBCa,ERYTH,0,4436,0
G05112-Ja005E-PBCa,HSC,0,4436,0
G05112-Ja005E-PBCa,MNP,1551,4436,34.964
G05112-Ja005E-PBCa,MNP|PLT,8,4436,0.18
G05112-Ja005E-PBCa,NK,144,4436,3.246
G05112-Ja005E-PBCa,PB,21,4436,0.473
G05112-Ja005E-PBCa,PLT,0,4436,0
G05112-Ja005E-PBCa,T,2220,4436,50.045
G05145-Ja005E-PBCa,B,411,5945,6.913
G05145-Ja005E-PBCa,ERYTH,0,5945,0
G05145-Ja005E-PBCa,HSC,6,5945,0.101
G05145-Ja005E-PBCa,MNP,1516,5945,25.5
G05145-Ja005E-PBCa,MNP|PLT,12,5945,0.202
G05145-Ja005E-PBCa,NK,423,5945,7.115
G05145-Ja005E-PBCa,PB,28,5945,0.471
G05145-Ja005E-PBCa,PLT,2,5945,0.034
G05145-Ja005E-PBCa,T,3547,5945,59.664
G05153-Ja005E-PBCa,B,284,8160,3.48
G05153-Ja005E-PBCa,ERYTH,0,8160,0
G05153-Ja005E-PBCa,HSC,8,8160,0.098
G05153-Ja005E-PBCa,MNP,1848,8160,22.647
G05153-Ja005E-PBCa,MNP|PLT,43,8160,0.527
G05153-Ja005E-PBCa,NK,392,8160,4.804
G05153-Ja005E-PBCa,PB,30,8160,0.368
G05153-Ja005E-PBCa,PLT,0,8160,0
G05153-Ja005E-PBCa,T,5555,8160,68.076
G05164-Ja005E-PBCa,B,175,6673,2.623
G05164-Ja005E-PBCa,ERYTH,0,6673,0
G05164-Ja005E-PBCa,HSC,8,6673,0.12
G05164-Ja005E-PBCa,MNP,1357,6673,20.336
G05164-Ja005E-PBCa,MNP|PLT,31,6673,0.465
G05164-Ja005E-PBCa,NK,877,6673,13.143
G05164-Ja005E-PBCa,PB,18,6673,0.27
G05164-Ja005E-PBCa,PLT,0,6673,0
