symbol	rna_row_1based	rna_feature_id	adt_row_1based	adt_feature_id
ABCB1	12513	ENSG00000085563	33597	CD243
ABCG2	7837	ENSG00000118777	33610	CD338
ADGRG1	26052	ENSG00000205336	33673	GPR56
ANPEP	24905	ENSG00000166825	33816	CD13
ANXA1	16190	ENSG00000135046	33621	Annexin.A1
B3GAT1	18884	ENSG00000109956	33775	CD57
BST2	30741	ENSG00000130303	33779	CD317
BTLA	6313	ENSG00000186265	33755	CD272
C5AR2	31512	ENSG00000134830	33577	C5L2
CCR10	27637	ENSG00000184451	33616	CCR10
CCR2	5819	ENSG00000121807	33729	CD192
CCR3	5817	ENSG00000183625	33612	CD193
CCR4	5670	ENSG00000183813	33737	CD194
CCR5	5821	ENSG00000160791	33726	CD195
CCR6	11741	ENSG00000112486	33690	CD196
CCR7	27522	ENSG00000126353	33691	CD197
CCR8	5726	ENSG00000179934	33736	CD198
CCR9	5813	ENSG00000173585	33732	CD199
CD101	1644	ENSG00000134256	33652	CD101
CD109	11097	ENSG00000156535	33815	CD109
CD14	9636	ENSG00000170458	33742	CD14
CD151	17030	ENSG00000177697	33601	CD151
CD163	20273	ENSG00000177575	33693	CD163
CD164	11284	ENSG00000135535	33617	CD164
CD177	31352	ENSG00000204936	33747	CD177
CD19	25674	ENSG00000177455	33711	CD19
CD1A	2098	ENSG00000158477	33708	CD1a
CD1C	2099	ENSG00000158481	33734	CD1c
CD1D	2096	ENSG00000158473	33604	CD1D
CD2	1641	ENSG00000116824	33798	CD2
CD200	6311	ENSG00000091972	33769	CD200
CD207	3852	ENSG00000116031	33555	CD207
CD209	30369	ENSG00000090659	33632	CD209
CD22	31045	ENSG00000012124	33784	CD22
CD226	29058	ENSG00000150637	33805	CD226
CD24	11261	ENSG00000272398	33757	CD24
CD244	2170	ENSG00000122223	33664	CD244
CD27	20214	ENSG00000139193	33549	CD27
CD274	15792	ENSG00000120217	33582	PDL1
CD276	24648	ENSG00000103855	33544	CD276
CD28	4993	ENSG00000178562	33669	CD28
CD33	31713	ENSG00000105383	33774	CD33
CD34	2697	ENSG00000174059	33605	CD34
CD36	12487	ENSG00000135218	33599	CD36
CD37	31609	ENSG00000104894	33739	CD37
CD38	7358	ENSG00000004468	33714	CD38
CD3D	18653	ENSG00000167286	33807	CD3
CD4	20240	ENSG00000010610	33778	CD4
CD40	29769	ENSG00000101017	33608	CD40
CD40LG	14226	ENSG00000102245	33579	CD154
CD44	17511	ENSG00000026508	33722	CD44
CD46	2695	ENSG00000117335	33795	CD46
