#Archive/File	Name	Time	Size	Type
Archive	GSE288020_RAW.tar	01/28/2025 00:16:33	347228160	TAR
File	GSM8757538_R001BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 17:56:18	18439392	H5
File	GSM8757539_R003BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 11:07:36	14847367	H5
File	GSM8757540_R005BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 20:17:16	19185319	H5
File	GSM8757541_R006BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 20:16:36	10821131	H5
File	GSM8757542_R008BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 21:34:08	23055744	H5
File	GSM8757543_R009BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 19:26:43	14472226	H5
File	GSM8757544_R010BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 18:47:03	20641459	H5
File	GSM8757545_R013BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 17:55:43	13716585	H5
File	GSM8757546_R014BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 20:28:50	13632278	H5
File	GSM8757547_R015BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 20:16:48	13123786	H5
File	GSM8757548_R016BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 20:17:45	20891624	H5
File	GSM8757549_R020BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 11:08:12	11673495	H5
File	GSM8757550_R023BM_sample_filtered_feature_bc_matrix.h5	01/23/2025 15:30:46	16023810	H5
File	GSM8757551_R024BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 20:28:39	17519413	H5
File	GSM8757552_E2228BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 20:29:12	22761755	H5
File	GSM8757553_E2238BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 18:12:52	9564374	H5
File	GSM8757554_E2242BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 17:57:39	9884122	H5
File	GSM8757555_E2243BM_sample_filtered_feature_bc_matrix.h5	01/23/2025 15:30:13	7687654	H5
File	GSM8757556_E2263BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 09:18:31	16232229	H5
File	GSM8757557_E2324BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 17:55:56	12969685	H5
File	GSM8757558_E2326BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 21:36:20	10454739	H5
File	GSM8757559_E2328BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 21:34:18	11383055	H5
File	GSM8757560_E2329BM_sample_filtered_feature_bc_matrix.h5	01/22/2025 21:48:44	18221841	H5
