#Archive/File	Name	Time	Size	Type
Archive	GSE314416_RAW.tar	03/10/2026 00:23:52	1251246080	TAR
File	GSM9396035_XHLT2-POOL-DB1-SCG1_GEX.h5	12/17/2025 01:18:52	37259446	H5
File	GSM9396036_XHLT2-POOL-DB1-SCG1_ADT.h5	12/17/2025 01:18:52	82950	H5
File	GSM9396037_XHLT2-POOL-DB1-SCG2_GEX.h5	12/17/2025 01:19:04	34792752	H5
File	GSM9396038_XHLT2-POOL-DB1-SCG2_ADT.h5	12/17/2025 01:19:04	80762	H5
File	GSM9396039_XHLT2-POOL-DB1-SCG3_GEX.h5	12/17/2025 01:19:16	33366130	H5
File	GSM9396040_XHLT2-POOL-DB1-SCG3_ADT.h5	12/17/2025 01:19:16	79849	H5
File	GSM9396041_XHLT2-POOL-DB1-SCG4_GEX.h5	12/17/2025 01:19:26	25470058	H5
File	GSM9396042_XHLT2-POOL-DB1-SCG4_ADT.h5	12/17/2025 01:19:26	67096	H5
File	GSM9396043_XHLT2-POOL-DB10-SCG1_GEX.h5	12/17/2025 01:15:49	10637061	H5
File	GSM9396044_XHLT2-POOL-DB10-SCG1_ADT.h5	12/17/2025 01:15:50	644501	H5
File	GSM9396045_XHLT2-POOL-DB10-SCG2_GEX.h5	12/17/2025 01:15:54	11291161	H5
File	GSM9396046_XHLT2-POOL-DB10-SCG2_ADT.h5	12/17/2025 01:15:55	685273	H5
File	GSM9396047_XHLT2-POOL-DB10-SCG3_GEX.h5	12/17/2025 01:15:59	10012570	H5
File	GSM9396048_XHLT2-POOL-DB10-SCG3_ADT.h5	12/17/2025 01:15:59	636585	H5
File	GSM9396049_XHLT2-POOL-DB10-SCG4_GEX.h5	12/17/2025 01:16:05	9342743	H5
File	GSM9396050_XHLT2-POOL-DB10-SCG4_ADT.h5	12/17/2025 01:16:05	618897	H5
File	GSM9396051_XHLT2-POOL-DB11-SCG1_GEX.h5	12/17/2025 01:16:11	17766725	H5
File	GSM9396052_XHLT2-POOL-DB11-SCG1_ADT.h5	12/17/2025 01:16:11	1043367	H5
File	GSM9396053_XHLT2-POOL-DB11-SCG2_GEX.h5	12/17/2025 01:16:17	16878130	H5
File	GSM9396054_XHLT2-POOL-DB11-SCG2_ADT.h5	12/17/2025 01:16:18	994122	H5
File	GSM9396055_XHLT2-POOL-DB11-SCG3_GEX.h5	12/17/2025 01:16:24	18690684	H5
File	GSM9396056_XHLT2-POOL-DB11-SCG3_ADT.h5	12/17/2025 01:16:25	1083211	H5
File	GSM9396057_XHLT2-POOL-DB11-SCG4_GEX.h5	12/17/2025 01:16:31	16085767	H5
File	GSM9396058_XHLT2-POOL-DB11-SCG4_ADT.h5	12/17/2025 01:16:31	1010932	H5
File	GSM9396059_XHLT2-POOL-DB12-SCG1_GEX.h5	12/17/2025 01:16:36	14988891	H5
File	GSM9396060_XHLT2-POOL-DB12-SCG1_ADT.h5	12/17/2025 01:16:37	798537	H5
File	GSM9396061_XHLT2-POOL-DB12-SCG2_GEX.h5	12/17/2025 01:16:42	14060760	H5
File	GSM9396062_XHLT2-POOL-DB12-SCG2_ADT.h5	12/17/2025 01:16:42	876916	H5
File	GSM9396063_XHLT2-POOL-DB12-SCG3_GEX.h5	12/17/2025 01:16:48	14585745	H5
File	GSM9396064_XHLT2-POOL-DB12-SCG3_ADT.h5	12/17/2025 01:16:48	900097	H5
File	GSM9396065_XHLT2-POOL-DB12-SCG4_GEX.h5	12/17/2025 01:16:54	14231298	H5
File	GSM9396066_XHLT2-POOL-DB12-SCG4_ADT.h5	12/17/2025 01:16:54	847238	H5
File	GSM9396067_XHLT2-POOL-DB13-SCG1_GEX.h5	12/17/2025 01:16:59	11667500	H5
File	GSM9396068_XHLT2-POOL-DB13-SCG1_ADT.h5	12/17/2025 01:16:59	676169	H5
File	GSM9396069_XHLT2-POOL-DB13-SCG2_GEX.h5	12/17/2025 01:17:04	11751485	H5
File	GSM9396070_XHLT2-POOL-DB13-SCG2_ADT.h5	12/17/2025 01:17:04	719362	H5
File	GSM9396071_XHLT2-POOL-DB13-SCG3_GEX.h5	12/17/2025 01:17:09	11559746	H5
File	GSM9396072_XHLT2-POOL-DB13-SCG3_ADT.h5	12/17/2025 01:17:09	705270	H5
File	GSM9396073_XHLT2-POOL-DB13-SCG4_GEX.h5	12/17/2025 01:17:14	11119477	H5
File	GSM9396074_XHLT2-POOL-DB13-SCG4_ADT.h5	12/17/2025 01:17:14	702869	H5
File	GSM9396075_XHLT2-POOL-DB14-SCG1_GEX.h5	12/17/2025 01:17:20	16878116	H5
File	GSM9396076_XHLT2-POOL-DB14-SCG1_ADT.h5	12/17/2025 01:17:21	803933	H5
File	GSM9396077_XHLT2-POOL-DB14-SCG2_GEX.h5	12/17/2025 01:17:27	16824262	H5
File	GSM9396078_XHLT2-POOL-DB14-SCG2_ADT.h5	12/17/2025 01:17:27	1011217	H5
File	GSM9396079_XHLT2-POOL-DB14-SCG3_GEX.h5	12/17/2025 01:17:33	16761733	H5
File	GSM9396080_XHLT2-POOL-DB14-SCG3_ADT.h5	12/17/2025 01:17:34	1010008	H5
File	GSM9396081_XHLT2-POOL-DB14-SCG4_GEX.h5	12/17/2025 01:17:40	16489351	H5
File	GSM9396082_XHLT2-POOL-DB14-SCG4_ADT.h5	12/17/2025 01:17:40	981554	H5
File	GSM9396083_XHLT2-POOL-DB2-SCG1_GEX.h5	12/17/2025 01:19:36	26450190	H5
File	GSM9396084_XHLT2-POOL-DB2-SCG1_ADT.h5	12/17/2025 01:19:36	75970	H5
File	GSM9396085_XHLT2-POOL-DB2-SCG2_GEX.h5	12/17/2025 01:19:46	26370374	H5
File	GSM9396086_XHLT2-POOL-DB2-SCG2_ADT.h5	12/17/2025 01:19:47	75359	H5
File	GSM9396087_XHLT2-POOL-DB2-SCG3_GEX.h5	12/17/2025 01:19:58	29685893	H5
File	GSM9396088_XHLT2-POOL-DB2-SCG3_ADT.h5	12/17/2025 01:19:58	75483	H5
File	GSM9396089_XHLT2-POOL-DB2-SCG4_GEX.h5	12/17/2025 01:20:09	31155312	H5
File	GSM9396090_XHLT2-POOL-DB2-SCG4_ADT.h5	12/17/2025 01:20:09	78800	H5
File	GSM9396091_XHLT2-POOL-DB3-SCG1_GEX.h5	12/17/2025 01:20:22	38083908	H5
File	GSM9396092_XHLT2-POOL-DB3-SCG1_ADT.h5	12/17/2025 01:20:22	83435	H5
File	GSM9396093_XHLT2-POOL-DB3-SCG2_GEX.h5	12/17/2025 01:20:37	40621196	H5
File	GSM9396094_XHLT2-POOL-DB3-SCG2_ADT.h5	12/17/2025 01:20:37	80557	H5
File	GSM9396095_XHLT2-POOL-DB3-SCG3_GEX.h5	12/17/2025 01:20:50	36309464	H5
File	GSM9396096_XHLT2-POOL-DB3-SCG3_ADT.h5	12/17/2025 01:20:50	75907	H5
File	GSM9396097_XHLT2-POOL-DB3-SCG4_GEX.h5	12/17/2025 01:21:02	34387163	H5
File	GSM9396098_XHLT2-POOL-DB3-SCG4_ADT.h5	12/17/2025 01:21:02	74893	H5
File	GSM9396099_XHLT2-POOL-DB4-SCG1_GEX.h5	12/17/2025 01:21:17	42436033	H5
File	GSM9396100_XHLT2-POOL-DB4-SCG1_ADT.h5	12/17/2025 01:21:17	81560	H5
File	GSM9396101_XHLT2-POOL-DB4-SCG2_GEX.h5	12/17/2025 01:21:30	39507655	H5
File	GSM9396102_XHLT2-POOL-DB4-SCG2_ADT.h5	12/17/2025 01:21:30	79798	H5
File	GSM9396103_XHLT2-POOL-DB4-SCG3_GEX.h5	12/17/2025 01:21:45	44541026	H5
File	GSM9396104_XHLT2-POOL-DB4-SCG3_ADT.h5	12/17/2025 01:21:45	83379	H5
File	GSM9396105_XHLT2-POOL-DB4-SCG4_GEX.h5	12/17/2025 01:21:56	29710364	H5
File	GSM9396106_XHLT2-POOL-DB4-SCG4_ADT.h5	12/17/2025 01:21:56	64498	H5
File	GSM9396107_XHLT2-POOL-DB5-SCG1_GEX.h5	12/17/2025 01:22:08	33792985	H5
File	GSM9396108_XHLT2-POOL-DB5-SCG1_ADT.h5	12/17/2025 01:22:08	72245	H5
File	GSM9396109_XHLT2-POOL-DB5-SCG2_GEX.h5	12/17/2025 01:22:22	44676216	H5
File	GSM9396110_XHLT2-POOL-DB5-SCG2_ADT.h5	12/17/2025 01:22:22	84458	H5
File	GSM9396111_XHLT2-POOL-DB5-SCG3_GEX.h5	12/17/2025 01:22:34	33755731	H5
File	GSM9396112_XHLT2-POOL-DB5-SCG3_ADT.h5	12/17/2025 01:22:34	70599	H5
File	GSM9396113_XHLT2-POOL-DB5-SCG4_GEX.h5	12/17/2025 01:22:49	44176307	H5
File	GSM9396114_XHLT2-POOL-DB5-SCG4_ADT.h5	12/17/2025 01:22:49	81602	H5
File	GSM9396115_XHLT2-POOL-DB6-SCG1_GEX.h5	12/17/2025 01:22:56	15012080	H5
File	GSM9396116_XHLT2-POOL-DB6-SCG1_ADT.h5	12/17/2025 01:22:56	52164	H5
File	GSM9396117_XHLT2-POOL-DB6-SCG2_GEX.h5	12/17/2025 01:23:04	15772875	H5
File	GSM9396118_XHLT2-POOL-DB6-SCG2_ADT.h5	12/17/2025 01:23:04	52659	H5
File	GSM9396119_XHLT2-POOL-DB6-SCG3_GEX.h5	12/17/2025 01:23:15	30777895	H5
File	GSM9396120_XHLT2-POOL-DB6-SCG3_ADT.h5	12/17/2025 01:23:15	75895	H5
File	GSM9396121_XHLT2-POOL-DB6-SCG4_GEX.h5	12/17/2025 01:23:22	13647277	H5
File	GSM9396122_XHLT2-POOL-DB6-SCG4_ADT.h5	12/17/2025 01:23:22	50941	H5
File	GSM9396123_XHLT2-POOL-DB7-SCG1_GEX.h5	12/17/2025 01:23:29	14459802	H5
File	GSM9396124_XHLT2-POOL-DB7-SCG1_ADT.h5	12/17/2025 01:23:29	51486	H5
File	GSM9396125_XHLT2-POOL-DB7-SCG2_GEX.h5	12/17/2025 01:23:36	14655009	H5
File	GSM9396126_XHLT2-POOL-DB7-SCG2_ADT.h5	12/17/2025 01:23:36	51684	H5
