donor	site	role	gsm	seq_run	gex_library	version	tissue	source	library_protocol	raw_matrix_assays	filename	url	content_length_bytes
D512	NY	held	GSM9031342	001	CZINY-0161	v2	pooled:blood,jejunal epithelium,inguinal lymph node,lung,mesenteric lymph node,thoracic lymph node,epithelial lining fluid,jejunum lamina propria	LiveOnNY	10x 5' v2	snRNA-seq, CITE-seq	GSE299043_D512_001.CZINY-0161.v2.h5ad	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299043/suppl/GSE299043_D512_001.CZINY-0161.v2.h5ad	47788072
D512	NY	held	GSM9031343	001	CZINY-0162	v2	pooled:blood,jejunal epithelium,inguinal lymph node,lung,mesenteric lymph node,thoracic lymph node,epithelial lining fluid,jejunum lamina propria	LiveOnNY	10x 5' v2	snRNA-seq, CITE-seq	GSE299043_D512_001.CZINY-0162.v2.h5ad	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299043/suppl/GSE299043_D512_001.CZINY-0162.v2.h5ad	49126946
D512	NY	held	GSM9031344	001	CZINY-0163	v1	pooled:blood,jejunal epithelium,inguinal lymph node,lung,mesenteric lymph node,thoracic lymph node,epithelial lining fluid,jejunum lamina propria	LiveOnNY	10x 5' v2	snRNA-seq, CITE-seq	GSE299043_D512_001.CZINY-0163.v1.h5ad	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299043/suppl/GSE299043_D512_001.CZINY-0163.v1.h5ad	16024731
D512	NY	held	GSM9031345	001	CZINY-0164	v2	pooled:blood,jejunal epithelium,inguinal lymph node,lung,mesenteric lymph node,thoracic lymph node,epithelial lining fluid,jejunum lamina propria	LiveOnNY	10x 5' v2	snRNA-seq, CITE-seq	GSE299043_D512_001.CZINY-0164.v2.h5ad	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299043/suppl/GSE299043_D512_001.CZINY-0164.v2.h5ad	49854560
D512	NY	held	GSM9031346	001	CZINY-0165	v2	pooled:blood,jejunal epithelium,inguinal lymph node,lung,mesenteric lymph node,thoracic lymph node,epithelial lining fluid,jejunum lamina propria	LiveOnNY	10x 5' v2	snRNA-seq, CITE-seq	GSE299043_D512_001.CZINY-0165.v2.h5ad	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299043/suppl/GSE299043_D512_001.CZINY-0165.v2.h5ad	41133092
D512	NY	held	GSM9031347	001	CZINY-0166	v2	pooled:blood,jejunal epithelium,inguinal lymph node,lung,mesenteric lymph node,thoracic lymph node,epithelial lining fluid,jejunum lamina propria	LiveOnNY	10x 5' v2	snRNA-seq, CITE-seq	GSE299043_D512_001.CZINY-0166.v2.h5ad	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299043/suppl/GSE299043_D512_001.CZINY-0166.v2.h5ad	46919209
D512	NY	held	GSM9031348	001	CZINY-0167	v2	pooled:blood,jejunal epithelium,inguinal lymph node,lung,mesenteric lymph node,thoracic lymph node,epithelial lining fluid,jejunum lamina propria	LiveOnNY	10x 5' v2	snRNA-seq, CITE-seq	GSE299043_D512_001.CZINY-0167.v2.h5ad	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299043/suppl/GSE299043_D512_001.CZINY-0167.v2.h5ad	46355321
D512	NY	held	GSM9031349	001	CZINY-0168	v2	pooled:blood,jejunal epithelium,inguinal lymph node,lung,mesenteric lymph node,thoracic lymph node,epithelial lining fluid,jejunum lamina propria	LiveOnNY	10x 5' v2	snRNA-seq, CITE-seq	GSE299043_D512_001.CZINY-0168.v2.h5ad	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299043/suppl/GSE299043_D512_001.CZINY-0168.v2.h5ad	53335503
D512	NY	held	GSM9031350	001	CZINY-0169	v1	pooled:blood,jejunal epithelium,inguinal lymph node,lung,mesenteric lymph node,thoracic lymph node,epithelial lining fluid,jejunum lamina propria	LiveOnNY	10x 5' v2	snRNA-seq, CITE-seq	GSE299043_D512_001.CZINY-0169.v1.h5ad	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299043/suppl/GSE299043_D512_001.CZINY-0169.v1.h5ad	25479208
D512	NY	held	GSM9031351	001	CZINY-0170	v1	pooled:blood,jejunal epithelium,inguinal lymph node,lung,mesenteric lymph node,thoracic lymph node,epithelial lining fluid,jejunum lamina propria	LiveOnNY	10x 5' v2	snRNA-seq, CITE-seq	GSE299043_D512_001.CZINY-0170.v1.h5ad	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299043/suppl/GSE299043_D512_001.CZINY-0170.v1.h5ad	31846164
D512	NY	held	GSM9031352	001	CZINY-0171	v1	pooled:blood,jejunal epithelium,inguinal lymph node,lung,mesenteric lymph node,thoracic lymph node,epithelial lining fluid,jejunum lamina propria	LiveOnNY	10x 5' v2	snRNA-seq, CITE-seq	GSE299043_D512_001.CZINY-0171.v1.h5ad	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299043/suppl/GSE299043_D512_001.CZINY-0171.v1.h5ad	20533313
D512	NY	held	GSM9031353	001	CZINY-0172	v1	pooled:blood,jejunal epithelium,inguinal lymph node,lung,mesenteric lymph node,thoracic lymph node,epithelial lining fluid,jejunum lamina propria	LiveOnNY	10x 5' v2	snRNA-seq, CITE-seq	GSE299043_D512_001.CZINY-0172.v1.h5ad	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299043/suppl/GSE299043_D512_001.CZINY-0172.v1.h5ad	22737107
D512	NY	held	GSM9031354	001	CZINY-0173	v1	pooled:blood,jejunal epithelium,inguinal lymph node,lung,mesenteric lymph node,thoracic lymph node,epithelial lining fluid,jejunum lamina propria	LiveOnNY	10x 5' v2	snRNA-seq, CITE-seq	GSE299043_D512_001.CZINY-0173.v1.h5ad	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE299nnn/GSE299043/suppl/GSE299043_D512_001.CZINY-0173.v1.h5ad	24824761
