adt_target	gene_symbol	module
BTLA	BTLA	checkpoint
CD117	KIT	growth_receptor
CD123	IL3RA	cytokine_receptor
CD13	ANPEP	myeloid
CD133	PROM1	stem_progenitor
CD134	TNFRSF4	costimulation
CD137	TNFRSF9	costimulation
CD141	THBD	myeloid
CD152	CTLA4	checkpoint
CD161	KLRB1	lineage
CD163	CD163	myeloid
CD18	ITGB2	adhesion
CD184	CXCR4	homing
CD19	CD19	b_cell
CD1c	CD1C	myeloid
CD1d	CD1D	antigen_presentation
CD2	CD2	t_cell
CD206	MRC1	myeloid
CD21	CR2	b_cell
CD223	LAG3	checkpoint
CD244	CD244	cytotoxic
CD273	PDCD1LG2	checkpoint
CD294	PTGDR2	homing
CD303	CLEC4C	myeloid
CD32	FCGR2A	fc_receptor
CD357	TNFRSF18	costimulation
CD366	HAVCR2	checkpoint
CD39	ENTPD1	activation
CD40	CD40	costimulation
CD57	B3GAT1	cytotoxic
CD62L	SELL	homing
CD64	FCGR1A	fc_receptor
CD69	CD69	activation
CD70	CD70	costimulation
CD71	TFRC	activation
KLRG1	KLRG1	cytotoxic
CX3CR1	CX3CR1	homing
CD10	MME	lineage
CD11c	ITGAX	myeloid
CD138	SDC1	b_cell
CD14	CD14	myeloid
CD16	FCGR3A	fc_receptor
CD185	CXCR5	homing
CD195	CCR5	homing
CD196	CCR6	homing
CD197	CCR7	homing
CD25	IL2RA	cytokine_receptor
CD27	CD27	costimulation
CD278	ICOS	costimulation
CD279	PDCD1	checkpoint
CD314	KLRK1	cytotoxic
CD38	CD38	activation
CD4	CD4	t_cell
CD56	NCAM1	cytotoxic
CD8	CD8A	t_cell
CD103	ITGAE	adhesion
CD275	ICOSLG	costimulation
CD28	CD28	costimulation
CD5	CD5	t_cell
CD90	THY1	lineage
CD11b	ITGAM	myeloid
CD127	IL7R	cytokine_receptor
CD194	CCR4	homing
CD274	CD274	checkpoint
CD33	CD33	myeloid
CD7	CD7	t_cell
CD80	CD80	costimulation
CD86	CD86	costimulation
CD183	CXCR3	homing
CD34	CD34	stem_progenitor
CD20	MS4A1	b_cell
