scenario	source_sd	recipient_sd	shifted_margins	successful_replicates	failed_replicates	method	mean_deviance	ci_low	ci_high
homogeneous_recipient_sd_0.0_same	0.0	0.0	False	128	0	hierarchical_exact	0.008752346419357598	0.00856875359580735	0.008945005675143487
homogeneous_recipient_sd_0.0_same	0.0	0.0	False	128	0	common_effect_exact	0.008660272376332566	0.00848538868866332	0.008842021049931531
homogeneous_recipient_sd_0.0_same	0.0	0.0	False	128	0	oracle_plugin	0.008041042201364	0.007880376624512095	0.008210019131476442
homogeneous_recipient_sd_0.0_same	0.0	0.0	False	128	0	oracle_mixture	0.008041042201363995	0.007880376624512077	0.00821001913147644
homogeneous_recipient_sd_0.0_shifted	0.0	0.0	True	128	0	hierarchical_exact	0.008674129952666771	0.008503162342316588	0.008853006635666256
homogeneous_recipient_sd_0.0_shifted	0.0	0.0	True	128	0	common_effect_exact	0.008639717779830497	0.008472181941164508	0.008816975180506259
homogeneous_recipient_sd_0.0_shifted	0.0	0.0	True	128	0	oracle_plugin	0.008347849285411265	0.008186610045404613	0.008515905148426412
homogeneous_recipient_sd_0.0_shifted	0.0	0.0	True	128	0	oracle_mixture	0.008347849285411258	0.008186610045404611	0.00851590514842641
homogeneous_recipient_sd_1.2_same	0.0	1.2	False	128	0	hierarchical_exact	0.0851882265783725	0.08383528840730049	0.0865532505324846
homogeneous_recipient_sd_1.2_same	0.0	1.2	False	128	0	common_effect_exact	0.08545447231378947	0.08408090089638512	0.08683698828781118
homogeneous_recipient_sd_1.2_same	0.0	1.2	False	128	0	oracle_plugin	0.08487488812775529	0.08352091777102731	0.08623736154410977
homogeneous_recipient_sd_1.2_same	0.0	1.2	False	128	0	oracle_mixture	0.0846550025197136	0.0833155787740137	0.08600546419801672
homogeneous_recipient_sd_1.2_shifted	0.0	1.2	True	128	0	hierarchical_exact	0.043321870864731264	0.042511859436598506	0.04412711916766804
homogeneous_recipient_sd_1.2_shifted	0.0	1.2	True	128	0	common_effect_exact	0.043442488492093305	0.04262714791311207	0.04425998178046056
homogeneous_recipient_sd_1.2_shifted	0.0	1.2	True	128	0	oracle_plugin	0.04318316991837322	0.042375199696637146	0.043981549887477024
homogeneous_recipient_sd_1.2_shifted	0.0	1.2	True	128	0	oracle_mixture	0.04222701407611086	0.04148091823860464	0.042971143736955875
heterogeneous_recipient_sd_0.0_same	1.2	0.0	False	128	0	hierarchical_exact	0.014930599298016375	0.014437134109995224	0.015422031079127275
heterogeneous_recipient_sd_0.0_same	1.2	0.0	False	128	0	common_effect_exact	0.015212178712907755	0.01470022654355079	0.015725038193836218
heterogeneous_recipient_sd_0.0_same	1.2	0.0	False	128	0	oracle_plugin	0.008075939574071064	0.007934306406423619	0.008213723195653694
heterogeneous_recipient_sd_0.0_same	1.2	0.0	False	128	0	oracle_mixture	0.00807593957407106	0.007934306406423623	0.00821372319565371
heterogeneous_recipient_sd_0.0_shifted	1.2	0.0	True	128	0	hierarchical_exact	0.011591487041402344	0.01129200113423149	0.011897051440525606
heterogeneous_recipient_sd_0.0_shifted	1.2	0.0	True	128	0	common_effect_exact	0.011714288932864856	0.011405930483083866	0.01202962891932979
heterogeneous_recipient_sd_0.0_shifted	1.2	0.0	True	128	0	oracle_plugin	0.008405063185895496	0.008261500045231185	0.008549151906769702
heterogeneous_recipient_sd_0.0_shifted	1.2	0.0	True	128	0	oracle_mixture	0.008405063185895501	0.008261500045231197	0.008549151906769706
heterogeneous_recipient_sd_1.2_same	1.2	1.2	False	128	0	hierarchical_exact	0.09154610235000601	0.08998879254736775	0.09308242299202404
heterogeneous_recipient_sd_1.2_same	1.2	1.2	False	128	0	common_effect_exact	0.0919258367367011	0.0903540383020855	0.0934813337048196
heterogeneous_recipient_sd_1.2_same	1.2	1.2	False	128	0	oracle_plugin	0.08520005111169718	0.08380730102630807	0.08660134562636444
heterogeneous_recipient_sd_1.2_same	1.2	1.2	False	128	0	oracle_mixture	0.08492645938814823	0.08353844234688454	0.0863116769950372
heterogeneous_recipient_sd_1.2_shifted	1.2	1.2	True	128	0	hierarchical_exact	0.04626004446925834	0.04535326507218184	0.04716180774527565
heterogeneous_recipient_sd_1.2_shifted	1.2	1.2	True	128	0	common_effect_exact	0.04644200077582522	0.04553139376893501	0.047352288879057486
heterogeneous_recipient_sd_1.2_shifted	1.2	1.2	True	128	0	oracle_plugin	0.04334533618773113	0.042503470500494175	0.044183230819830215
heterogeneous_recipient_sd_1.2_shifted	1.2	1.2	True	128	0	oracle_mixture	0.04237195175493601	0.04160301801615884	0.043138049747241704
