method,donor,pair,status,deviance,interval_covered,interval_width
original_hierarchy,C-8816,0,SCORED,0.035915013296999004,,
original_hierarchy,C-8816,1,SCORED,0.013189289668332334,,
original_hierarchy,C-8816,2,SCORED,0.00438770038794906,,
original_hierarchy,C-8816,3,SCORED,0.004542976657430475,,
original_hierarchy,C-8816,4,SCORED,0.011794246501924698,,
original_hierarchy,C-8816,5,SCORED,0.008168654331164878,,
original_hierarchy,C-8816,6,SCORED,4.929770158603754e-06,,
original_hierarchy,C-8816,7,SCORED,0.0008920088554315777,,
original_hierarchy,C-8816,8,SCORED,0.012477306679946294,,
original_hierarchy,C-8816,9,SCORED,0.0055449540281399395,,
original_hierarchy,C-8816,10,SCORED,0.0010182294521321501,,
original_hierarchy,C-8816,11,SCORED,0.0910697574666677,,
original_hierarchy,C-8816,12,SCORED,0.014239473022520974,,
original_hierarchy,C-8816,13,SCORED,0.2871313650266044,,
original_hierarchy,C-8816,14,SCORED,0.19977115574589124,,
original_hierarchy,C-8816,15,SCORED,0.04441183564574609,,
original_hierarchy,C-8816,16,SCORED,0.04561246788617247,,
original_hierarchy,C-8816,17,SCORED,0.015830740463677308,,
original_hierarchy,C-8816,18,SCORED,0.0006346722130116823,,
original_hierarchy,C-8816,19,SCORED,0.0002738713063564612,,
original_hierarchy,C-8816,20,SCORED,0.0185600370863436,,
original_hierarchy,C-8816,21,SCORED,0.0017151652240775944,,
original_hierarchy,C-8816,22,SCORED,0.20077384109740376,,
original_hierarchy,C-8816,23,SCORED,0.06873898695099458,,
original_hierarchy,C-8816,24,SCORED,0.017961152656513782,,
original_hierarchy,C-8816,25,SCORED,0.0005119440032698985,,
original_hierarchy,C-8816,26,SCORED,0.03367771098746761,,
original_hierarchy,C-8816,27,SCORED,0.0005368039667112065,,
original_hierarchy,C-8816,28,SCORED,0.0013651784755073495,,
original_hierarchy,C-8816,29,SCORED,0.0037976800982861612,,
original_hierarchy,C-8816,30,SCORED,0.0009133502127857384,,
original_hierarchy,C-8816,31,SCORED,0.0035812796538777394,,
original_hierarchy,C-8816,32,SCORED,0.0017041462687515294,,
original_hierarchy,C-8816,33,SCORED,2.4760471950380334e-06,,
original_hierarchy,C-8816,34,SCORED,5.921198675679627e-06,,
