margin_id	total	row_zero	column_zero	support_lower	support_upper	support_size	transport_multiplier	predicted_log_odds	transport_bias	drift_standard_deviation	drift_variance	mean_squared_canonical_error	empirical_excess_log_loss	empirical_monte_carlo_standard_error	exact_expected_excess_log_loss	curvature_integral_risk	exact_minus_integral	information_lower	information_upper	theorem_lower_bound	theorem_upper_bound	finite_support_upper_bound	within_information_envelope	within_finite_support_envelope	exact_expected_excess_log_loss_per_cell
balanced	96	48	48	0	48	49	0.5	0.4	-0.4	0.0	0.0	0.16000000000000003	0.4720249307303129	0.0009655703367114763	0.47158730131465965	0.4715873013146562	3.4416913763379853e-15	5.827037969606882	6.002948851204337	0.46616303756855065	0.4802359080963471	46.08000000000001	true	true	0.004912367722027705
balanced	96	48	48	0	48	49	0.5	0.4	-0.4	0.25	0.0625	0.22250000000000003	0.6466833072881659	0.0007948123073842342	0.646200800066437	0.6462008000664365	4.440892098500626e-16	5.663979959253757	6.002948851204337	0.6301177704669805	0.6678280596964826	64.08000000000001	true	true	0.006731258334025385
balanced	96	48	48	0	48	49	0.5	0.4	-0.4	0.5	0.25	0.41000000000000003	1.1662831486832674	0.001059167437254207	1.1665097226261119	1.1665097226261012	1.0658141036401503e-14	5.4654947203753705	6.029191705446927	1.120426417676951	1.2359842996166202	118.08000000000001	true	true	0.012151142944021998
balanced	96	48	48	0	48	49	0.5	0.4	-0.4	1.0	1.0	1.16	3.1967749877841145	0.0017281938684623266	3.195919862833355	3.195919862833349	5.773159728050814e-15	4.984349618792146	6.063157894736917	2.8909227788994447	3.5166315789474116	334.08	true	true	0.033290831904514116
balanced	96	48	48	0	48	49	0.75	0.6000000000000001	-0.19999999999999996	0.0	0.0	0.03999999999999998	0.11671666574082562	0.00048278516835574076	0.11726365103299874	0.11726365103299913	-3.885780586188048e-16	5.827037969606883	5.9288037741464015	0.1165407593921376	0.11857607548292796	11.519999999999994	true	true	0.0012214963649270702
balanced	96	48	48	0	48	49	0.75	0.6000000000000001	-0.19999999999999996	0.25	0.0625	0.10249999999999998	0.294868767298679	0.0005389413068134708	0.29546111269721453	0.2954611126972163	-1.7763568394002505e-15	5.663979959253758	5.94999480413596	0.29027897291175503	0.3049372337119679	29.519999999999996	true	true	0.003077719923929318
balanced	96	48	48	0	48	49	0.75	0.6000000000000001	-0.19999999999999996	0.5	0.25	0.29	0.8254485336937812	0.0008973181802563387	0.8264172349024075	0.8264172349024022	5.329070518200751e-15	5.4654947203753705	6.029191705446927	0.7924967344544287	0.8742327972898043	83.52	true	true	0.008608512863566745
balanced	96	48	48	0	48	49	0.75	0.6000000000000001	-0.19999999999999996	1.0	1.0	1.04	2.8968136227946295	0.0016619418530210797	2.896895602166455	2.896895602166445	1.021405182655144e-14	4.984349618792146	6.063157894736917	2.591861801771916	3.152842105263197	299.52	true	true	0.030175995855900573
balanced	96	48	48	0	48	49	1.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.827037969606884	5.82703796960705	0.0	0.0	0.0	true	true	0.0
balanced	96	48	48	0	48	49	1.0	0.8	0.0	0.25	0.0625	0.0625	0.1813710015578533	0.0004259910276965516	0.1817814245766535	0.18178142457665492	-1.4155343563970746e-15	5.663979959253758	5.94999480413596	0.17699937372667993	0.18593733762924874	18.0	true	true	0.0018935565060068072
